movieId,title,genres,genre_vector,similarity
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0.2581988897471611
2,Jumanji (1995),Adventure|Children|Fantasy,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.33333333333333337
3,Grumpier Old Men (1995),Comedy|Romance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.33333333333333337
5,Father of the Bride Part II (1995),Comedy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.0
6,Heat (1995),Action|Crime|Thriller,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
7,Sabrina (1995),Comedy|Romance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.0
8,Tom and Huck (1995),Adventure|Children,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.0
9,Sudden Death (1995),Action,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
10,GoldenEye (1995),Action|Adventure|Thriller,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
11,"American President, The (1995)",Comedy|Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.33333333333333337
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0.0
13,Balto (1995),Adventure|Animation|Children,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0.0
14,Nixon (1995),Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
15,Cutthroat Island (1995),Action|Adventure|Romance,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.0
16,Casino (1995),Crime|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
17,Sense and Sensibility (1995),Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.40824829046386296
18,Four Rooms (1995),Comedy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.0
19,Ace Ventura: When Nature Calls (1995),Comedy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0.2581988897471611
21,Get Shorty (1995),Comedy|Crime|Thriller,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",0.2581988897471611
23,Assassins (1995),Action|Crime|Thriller,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
24,Powder (1995),Drama|Sci-Fi,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
25,Leaving Las Vegas (1995),Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.40824829046386296
26,Othello (1995),Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
27,Now and Then (1995),Children|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.40824829046386296
28,Persuasion (1995),Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.40824829046386296
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.5163977794943222
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
31,Dangerous Minds (1995),Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
33,Wings of Courage (1995),Adventure|Romance|IMAX,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.0
34,Babe (1995),Children|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.40824829046386296
35,Carrington (1995),Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.40824829046386296
36,Dead Man Walking (1995),Crime|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
37,Across the Sea of Time (1995),Documentary|IMAX,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.0
38,It Takes Two (1995),Children|Comedy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.0
39,Clueless (1995),Comedy|Romance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.0
40,"Cry, the Beloved Country (1995)",Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
41,Richard III (1995),Drama|War,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
42,Dead Presidents (1995),Action|Crime|Drama,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.33333333333333337
43,Restoration (1995),Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
44,Mortal Kombat (1995),Action|Adventure|Fantasy,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.33333333333333337
45,To Die For (1995),Comedy|Drama|Thriller,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.33333333333333337
46,How to Make an American Quilt (1995),Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.40824829046386296
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0.5163977794943222
49,When Night Is Falling (1995),Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.40824829046386296
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
51,Guardian Angel (1994),Action|Drama|Thriller,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.33333333333333337
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.33333333333333337
53,Lamerica (1994),Adventure|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
54,"Big Green, The (1995)",Children|Comedy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.0
55,Georgia (1995),Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.2886751345948129
57,Home for the Holidays (1995),Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.33333333333333337
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.33333333333333337
61,Eye for an Eye (1996),Drama|Thriller,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
62,Mr. Holland's Opus (1995),Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0.0
64,Two if by Sea (1996),Comedy|Romance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.0
65,Bio-Dome (1996),Comedy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
67,Two Bits (1995),Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
68,French Twist (Gazon maudit) (1995),Comedy|Romance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.0
69,Friday (1995),Comedy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0.0
71,Fair Game (1995),Action,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
72,Kicking and Screaming (1995),Comedy|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.40824829046386296
73,"Misérables, Les (1995)",Drama|War,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
74,Bed of Roses (1996),Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.40824829046386296
75,Big Bully (1996),Comedy|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.40824829046386296
76,Screamers (1995),Action|Sci-Fi|Thriller,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
77,Nico Icon (1995),Documentary,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.0
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.2886751345948129
79,"Juror, The (1996)",Drama|Thriller,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.40824829046386296
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0.33333333333333337
82,Antonia's Line (Antonia) (1995),Comedy|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.40824829046386296
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.40824829046386296
84,Last Summer in the Hamptons (1995),Comedy|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.40824829046386296
85,Angels and Insects (1995),Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.40824829046386296
86,White Squall (1996),Action|Adventure|Drama,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.33333333333333337
87,Dunston Checks In (1996),Children|Comedy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.0
88,Black Sheep (1996),Comedy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.0
89,Nick of Time (1995),Action|Thriller,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
90,The Journey of August King (1995),Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5773502691896258
92,Mary Reilly (1996),Drama|Horror|Thriller,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.33333333333333337
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",0.0
94,Beautiful Girls (1996),Comedy|Drama|Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.33333333333333337
95,Broken Arrow (1996),Action|Adventure|Thriller,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
96,In the Bleak Midwinter (1995),Comedy|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.40824829046386296
97,"Hate (Haine, La) (1995)",Crime|Drama,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
98,Shopping (1994),Action|Thriller,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.0
100,City Hall (1996),Drama|Thriller,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",0.0
