movieId,title,genres,prom_visualizacion,%_view_movie,sum_likes,sum_dislikes,genre_vector,similarity
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,7,21,61,1,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.5163977794943222
2,Jumanji (1995),Adventure|Children|Fantasy,8,34,122,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.6666666666666667
3,Grumpier Old Men (1995),Comedy|Romance,10,13,252,24,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,8,12,187,18,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
5,Father of the Bride Part II (1995),Comedy,5,36,162,7,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
6,Heat (1995),Action|Crime|Thriller,9,14,196,11,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.33333333333333337
7,Sabrina (1995),Comedy|Romance,5,32,129,15,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
8,Tom and Huck (1995),Adventure|Children,7,27,160,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.8164965809277259
9,Sudden Death (1995),Action,8,34,69,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.5773502691896258
10,GoldenEye (1995),Action|Adventure|Thriller,11,31,276,28,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0.6666666666666667
11,"American President, The (1995)",Comedy|Drama|Romance,11,33,332,35,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,8,32,156,14,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
13,Balto (1995),Adventure|Animation|Children,11,35,257,22,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.6666666666666667
14,Nixon (1995),Drama,6,35,165,6,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
15,Cutthroat Island (1995),Action|Adventure|Romance,10,30,299,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",0.6666666666666667
16,Casino (1995),Crime|Drama,11,39,307,25,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
17,Sense and Sensibility (1995),Drama|Romance,6,21,98,9,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
18,Four Rooms (1995),Comedy,7,33,167,18,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
19,Ace Ventura: When Nature Calls (1995),Comedy,5,40,166,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,9,27,1,13,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.2581988897471611
21,Get Shorty (1995),Comedy|Crime|Thriller,11,28,284,34,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,5,12,25,5,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
23,Assassins (1995),Action|Crime|Thriller,10,10,218,22,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.33333333333333337
24,Powder (1995),Drama|Sci-Fi,5,46,78,17,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
25,Leaving Las Vegas (1995),Drama|Romance,6,49,45,19,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
26,Othello (1995),Drama,12,19,364,22,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
27,Now and Then (1995),Children|Drama,6,34,126,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
28,Persuasion (1995),Drama|Romance,11,45,320,33,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,5,15,115,13,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.2581988897471611
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,9,29,124,19,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
31,Dangerous Minds (1995),Drama,10,40,203,26,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,8,48,157,6,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
33,Wings of Courage (1995),Adventure|Romance|IMAX,5,23,133,8,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0.33333333333333337
34,Babe (1995),Children|Drama,10,34,342,24,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
35,Carrington (1995),Drama|Romance,8,42,116,8,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
36,Dead Man Walking (1995),Crime|Drama,10,12,352,39,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
37,Across the Sea of Time (1995),Documentary|IMAX,10,27,220,23,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.0
38,It Takes Two (1995),Children|Comedy,12,24,320,23,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
39,Clueless (1995),Comedy|Romance,5,36,194,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
40,"Cry, the Beloved Country (1995)",Drama,11,36,212,38,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
41,Richard III (1995),Drama|War,5,16,152,2,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
42,Dead Presidents (1995),Action|Crime|Drama,8,16,114,10,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.33333333333333337
43,Restoration (1995),Drama,5,21,120,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,6,50,170,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",0.6666666666666667
45,To Die For (1995),Comedy|Drama|Thriller,11,50,306,33,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
46,How to Make an American Quilt (1995),Drama|Romance,7,37,80,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,9,44,162,8,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,7,48,92,17,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0.2581988897471611
49,When Night Is Falling (1995),Drama|Romance,7,44,157,13,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,10,34,241,27,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
51,Guardian Angel (1994),Action|Drama|Thriller,6,26,148,4,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.33333333333333337
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,7,17,140,9,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
53,Lamerica (1994),Adventure|Drama,7,31,113,4,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.40824829046386296
54,"Big Green, The (1995)",Children|Comedy,12,42,333,34,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
55,Georgia (1995),Drama,7,32,163,12,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,5,23,25,12,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.5773502691896258
57,Home for the Holidays (1995),Drama,10,33,203,32,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,12,14,324,32,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,6,38,47,6,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,9,40,160,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0.6666666666666667
61,Eye for an Eye (1996),Drama|Thriller,5,18,29,4,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
62,Mr. Holland's Opus (1995),Drama,6,49,13,13,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,5,15,95,19,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
64,Two if by Sea (1996),Comedy|Romance,9,12,14,2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
65,Bio-Dome (1996),Comedy,10,14,222,39,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,10,34,232,21,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.33333333333333337
67,Two Bits (1995),Drama,10,49,316,25,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
68,French Twist (Gazon maudit) (1995),Comedy|Romance,6,49,159,16,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
69,Friday (1995),Comedy,9,45,151,17,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,12,48,284,38,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.2886751345948129
71,Fair Game (1995),Action,9,13,75,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.5773502691896258
72,Kicking and Screaming (1995),Comedy|Drama,12,19,294,27,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
73,"Misérables, Les (1995)",Drama|War,6,28,198,1,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
74,Bed of Roses (1996),Drama|Romance,8,18,70,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
75,Big Bully (1996),Comedy|Drama,5,27,54,3,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
76,Screamers (1995),Action|Sci-Fi|Thriller,6,42,60,12,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.33333333333333337
77,Nico Icon (1995),Documentary,9,17,147,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.0
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,7,27,34,7,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.2886751345948129
79,"Juror, The (1996)",Drama|Thriller,9,35,153,6,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,6,17,106,18,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,11,50,200,15,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.0
82,Antonia's Line (Antonia) (1995),Comedy|Drama,10,35,361,24,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,7,25,65,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
84,Last Summer in the Hamptons (1995),Comedy|Drama,8,29,123,9,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
85,Angels and Insects (1995),Drama|Romance,10,50,248,34,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
86,White Squall (1996),Action|Adventure|Drama,12,29,306,32,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0.6666666666666667
87,Dunston Checks In (1996),Children|Comedy,10,36,387,33,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.40824829046386296
88,Black Sheep (1996),Comedy,11,26,376,30,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
89,Nick of Time (1995),Action|Thriller,12,44,225,25,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.40824829046386296
90,The Journey of August King (1995),Drama,11,16,380,32,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
92,Mary Reilly (1996),Drama|Horror|Thriller,10,13,307,38,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,11,11,364,30,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
94,Beautiful Girls (1996),Comedy|Drama|Romance,5,17,130,13,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
95,Broken Arrow (1996),Action|Adventure|Thriller,8,22,137,10,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0.6666666666666667
96,In the Bleak Midwinter (1995),Comedy|Drama,5,44,145,10,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
97,"Hate (Haine, La) (1995)",Crime|Drama,6,18,96,9,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.0
98,Shopping (1994),Action|Thriller,11,15,305,26,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.40824829046386296
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,10,10,331,36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.0
100,City Hall (1996),Drama|Thriller,10,11,396,23,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,11,40,384,32,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",0.2886751345948129
